name,slug,species,description,genetic_cultivation_description,references,hero_image_attribution,lab_data_attribution,thc_min,thc_max,cbd_min,cbd_max,featured_position,featured,avatar_image_url,hero_image_url,aliases,effects,flavors
Bubble Gum,bubble-gum,hybrid,"The exact lineage and genetics of Bubble Gum remain a mystery. However, the strain’s history began in Indiana, where its original grower gave three different Bubble Gum plants to three Netherlands breeders — Adam of T.H. Seeds, and Cerebral Seeds’ Simon and Tony (who eventually split to form Serious Seeds and Sagarmatha Seeds, respectively). 

In the Netherlands, each breeder cultivated a slightly different Bubble Gum phenotype. Adam at T.H. Seeds describes his version as “mostly Indica,” while Simon at Cerebral Seeds considers his variation of the strain “mostly Sativa.” 

Bubble Gum has won 13 awards, including 2nd at High Times Cannabis Cup in 1995, 1st Outdoor at Spannabis Cup in 2005, 1st Outdoor at Spannabis Cup in 2006 and 1st Hybrid at the 4th annual Jack Herer Cup in 2018. 

Today, both regular and feminized seeds are available from Serious Seeds, and Bubble Gum is the only inbred strain offered by the seed bank. Simon reports Bubble Gum seeds produce a stable, uniform grow of strong, sturdy plants with thick stems. It lists the strain as both an outdoor and indoor cultivar, with an indoor flowering time of 56-63 days. It’s said to emit a sweet, bubble gum fragrance and carry a prominent strawberry flavor when it comes from feminized seeds. 
",,"Serious Seeds, T.H. Seeds, Cerebral Seeds",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/040/avatar/original/1548297208-180211F_47220_Bubblegum_1.jpg,https://images.weedmaps.com/strains/000/000/040/hero/original/1581016859-BubbleGum_DL.jpg,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': 'e5c1d481-0c53-4f89-8354-d8bb71bab322', 'type': 'tag', 'name': 'Diesel'}, {'id': '725787f5-ef95-4a71-9c39-cb5a345ff318', 'type': 'tag', 'name': 'Berry'}, {'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}]"
Bubblegun,bubblegun,hybrid,"Popularized and refined by the Amsterdam-based breeder Spliff Seeds, Bubblegun has Mexican Sativa, Columbian Gold, and Afghani indica genetics, and was crossed with AK in an attempt to improve bud structure and increase yields. Bubblegun originated in Indiana, but was genetically improved after making its way to the Netherlands. As its name suggests, Bubblegun is said to deliver an explosive bubblegum flavor, coupled with a fruity aroma.

Reported as a vigorous grower during the vegetative and flowering stages, Spliff Seeds recommends this sativa-leaning strain for experienced growers, as it requires constant trimming and a watchful eye. To limit growth, the breeder suggests guilting or replanting, which will reduce size but lead to a more bushy plant.

Bubblegun is best suited for indoor and outdoor grows, yielding copious amounts of dense, sticky flowers that are light green and highly resinous over an eight to nine week flowering cycle.

After having its own Bubblegun strain analyzed, Spliff Seeds found that the sample had just more than 16% THC, a mild amount that the breeder claims leads to an immediate and long-lasting headbuzz.",,Spliff Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/833/avatar/original/1567637561-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/833/hero/original/1567637561-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
Bubbleicious,bubbleicious,hybrid,"Bred for its authentic bubblegum flavor by Nirvana Shop in the Netherlands, Bubblelicious is a sativa-dominant hybrid that offers light citrus notes. Its leaves and buds grow bright green and produce orange hairs with a frosty coating of trichomes.

A cross between an earlier strain of itself and Short Rider, Bubblelicious is known for its higher-than-average CBD levels, making it a good choice for both medical and recreational use. Bubblelicious has a flowering time of 70 to 84 days, though its vegetative period is shorter than the average cultivar. The breeders state that the branches continue to stretch during flowering time, and that’s the main reason to cut vegetative growth earlier. The auto-flowering seeds available through Nirvana Shop automatically shorten the vegetation cycle for optimal growth.",,Nirvana Shop,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/600/avatar/original/1564690225-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/600/hero/original/1564690225-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
Bubble Yum,bubble-yum,hybrid,"A cross of Strawberry and Bubble Gum, according to online sources, Bubble Yum results in light green buds with a silvery coating of trichomes. It’s said to have a fruity, earthy smell and to taste light and sweet.

Bubble Yum is reportedly easy to grow with a six- to eight-week flowering time.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/737/avatar/original/1566584847-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/737/hero/original/1566584847-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}]",[]
Bubblicious,bubblicious,indica,"Bubblicious is a Resin Seeds creation — a mix of a T.H. Seeds’ Bubblegum female and a Soma’s F1 Lavender male. It inherits the herbal taste of Lavender and the candy-sweet scent of Bubblegum, along with 16-20% THC, according to Resin Seeds.","Bubblicious grows short and stout inside and outdoors and flowers in about eight-to-nine weeks or mid-September. Its large, conical colas produce dark and pale green buds awash in twisted orange pistils and glistening white trichomes, which contribute to heavy resin production. Bubblicious delivers big yields according to Zamnesia seed bank.","Resin Seeds, Zamnesia",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': '48938613-7e33-48ce-860d-a4edc7168fdf', 'type': 'tag', 'name': 'Woody'}]"
Buckeye Purple,buckeye-purple,hybrid,"Buckeye Purple is a hybrid strain created by Melvanetics. It’s a cross between Granddaddy Purple and Gorilla Grape that produces large, beautiful, trichome-covered bright purple buds.
The top reported aromas of the Buckeye Purple strain are floral, earth, and fruity. And it is said to taste like sweet, spicy berries.","Buckeye Purple is an indica-dominant strain that’s a cross between Granddaddy Purple and Gorilla Grape. Buckeye Purple produces short plants with thick fan leaves thanks to its indica heritage. Buckeye Purple has an average flowering time between 52 and 62 days and is known to produce medium yields in ideal conditions. The Buckeye Purple strain is best grown indoors.
Buckeye Purple is not available as seeds or clones.",,,,7.5,20.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
Buddah's Sister,buddah-s-sister,hybrid,"Buddha’s Sister is an indica-forward hybrid formerly known as Soma Skunk V+, renamed to enhance its appeal in the coffeeshops of Amsterdam. 

The strain, originating from Amsterdam’s Soma Seeds, is a cross of Afghani, Big Skunk Korean, and Hawaiian Super Skunk, another Indica-leaning hybrid. With that pedigree, and a first place finish for Indica during the 2008 IC420 Growers Cup as well as a second-place finish for Best Indica at the 2002 Cannabis Cup, Buddha’s Sister offers a powerful effect.

Soma Seeds notes that Buddha’s Sister is an indica-dominant cultivar that tends to thrive more as a multibranch plant when grown hydroponically, but it also does well in organic soil. Buddha’s Sister produces medium yields with a flowering time between 63 and 70 days.
The loosely packed buds also offer resistance to mold and produce robust trichomes.",,Soma Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/401/avatar/original/1559931383-180226F_17550_Buddhas_Sister_1.jpg,https://images.weedmaps.com/strains/000/000/401/hero/original/1559931383-180226F_17550_Buddhas_Sister_1.jpg,[],[],[]
Bugatti OG,bugatti-og,hybrid,"Bugatti OG is a strain of unconfirmed origin though it may contain some OG Kush genetics.
The top reported aromas of the Bugatti OG strain are powerful earth, diesel, and skunk. And it is said to taste like honey, pine, and earth.","Bugatti OG is a balanced hybrid thought to possibly be an OG Kush descendant. Bugatti OG has an average flowering time between 49 and 70 days. Little additional growing information is available on Bugatti OG.
Bugatti OG is not available as seeds or clones.",,,,11.0,29.0,0.0,0.5,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
Bullrider,bullrider,hybrid,"Bullrider, also commonly known as Afghani Bullrider, is reportedly a clone-only Afghani landrace phenotype developed in San Diego. Sources claim that Bullrider was originally bred by a professional bullrider, and has been circulating on the West Coast since the 1980s. Some believe the strain to be a cross between G13 and Skunk #1.  

Carrying what is often descrbied as a fruity and sour aroma, Bullrider is said to have a flavor profile that resembles fresh pine tree and skunk. This indica-leaning strain is reported to grow short and stout, producing small, dense, light green buds with sticky white trichomes and orange stigma hairs in a 63-day flowering period. 

One sample of Afghani Bullrider analyzed by the cannabis testing laboratory PharmLabs San Diego found THC levels exceeding 19%, along with a terpene profile dominated by myrcene, linalool, beta-Caryophyllene, and pinene. Though other labs may get different results when testing the same strain.",,,,,7.5,18.0,0.0,1.0,,False,https://images.weedmaps.com/strains/000/000/679/avatar/original/1565381697-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/679/hero/original/1565381697-Strain_Flower-Hybrid_v5__1_.jpg,['Afghani Bullrider'],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': 'cb4aa1bb-d8a1-413e-b083-08addbd0a631', 'type': 'tag', 'name': 'Pine'}]"
Burmese Kush,burmese-kush,hybrid,"V1. Burmese Kush by Kera Seeds
The Burmese Kush created by breeder Kera Seeds is a hard-hitting cross of Trainwreck and White Widow. The breeder claims that its Burmese Kush has a thick, pepper-flavored smoke flavor and THC levels that average about 20% THC.

According to the breeder, Burmese Kush is heavily sativa-leaning, but tends to grow to a medium height and without the hard-to-tame sativa vigor. This strain is suitable for indoor or outdoor growing conditions, but tends to thrive outdoors. Burmese Kush has a flowering period of about nine weeks and, if grown outdoors in the Northern Hemisphere, should be harvested in October. If grown outdoors in the Southern Hemisphere, growers should plan to harvest this strain in April.  Although it’s moderately difficult to grow, cultivators can expect high yields when extra attention and care is given to the plant.


V2. Burmese Kush by TH Seeds
The Dutch breeder TH Seeds also created its own Burmese Kush strain, crossing Burmese and OG Kush. Said to carry a signature O.G. Kush flavor and potency, this version of Burmese Kush has a flavor of citrus and pine tree.

Growing medium in height, this strain produces moderate yields of In a 9-week flowering cycle, this strain produces frosty colas with vibrant orange stigmas and beautiful purple-hued leaves. Suitable for indoor or outdoor growing conditions, the breeder claims that its Burmese Kush has a low leaf-to-flower ratio, making it a more productive plant than its short stature and quick flowering time may let on.",,"Kera Seeds, TH Seeds",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/924/avatar/original/1569453032-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/924/hero/original/1569453032-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}]",[]
C3,c3,indica,"C3 is an indica-dominant hybrid that’s a cross between Chemdawg and an unnamed lemon Thai or Pakistani landrace. The original breeder is unknown.
The top reported aromas of the C3 strain are lemon, earth, and skunk. And it is said to taste like herbal, earthy citrus.","C3 is an indica-dominant strain that’s a cross between Chemdawg and a lemon Thai-Pakistani landrace. C3 produces short plants with thick leaves due to its indica heritage. C3 reaches full maturity between 56 and 63 days and is known to produce medium yields in ideal conditions. The C3 strain is best grown indoors.
C3 is not available as seeds or clones.",,,,0.0,20.5,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
C4,c4,indica,"C4 is a cross of Cotton Candy and Shishkaberry created by Chimera Seeds. It inherits the flavors and terpene palate of its parents, with citrus a fruity pine notes. 
 C4 is reportedly easy to grow, even for novices, due to its resistance to pests and disease. It flourishes inside and outside in slightly humid, warm environments and flowers in seven-to-eight weeks. The cultivar grows short and bushy and may need structural support as it develops. C4 produces large, round buds that cluster together tightly. Colors range from bright green to yellow with pale orange pistils and a sticky layer of resinous trichomes. The strain produces very high yields and excels at resin production, according to the breeder.",,Chimera Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': '86bf2bdb-50ae-4c2e-ac4a-24410f478763', 'type': 'tag', 'name': 'Cheese'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
California Grapefruit,california-grapefruit,hybrid,"California Grapefruit was reportedly created by the iconic breeders at DNA Genetics, which combined a mix of Afghani indica, the legendary Northern Lights, and equally renowned Skunk #1 to develop this indica-leaning strain. While the strain is no longer available from DNA Genetics, several seed banks claim to carry California Grapefruit seeds.

The strain is said to smell and taste like fresh citrus fruit with a hint of earthiness. According to the online seed bank Canadian Hemp Co., California Grapefruit requires some skill to grow, which produces short plants that have a heavy yield after eight to nine weeks when grown indoors.",,DNA Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/926/avatar/original/1569453440-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/926/hero/original/1569453440-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
California Orange,california-orange,hybrid,"Californian Orange “dates back to the hippie era.” Its exact heritage is unknown, but it has remained a popular strain for many years, described by Dutch Passion Seed Co. as a 50-50 mix of Indica and Sativa.

Californian Orange garnered its name because of its heavy citrus aroma and fragrance. The plant itself is large in size and has about a nine-week flowering time with above-average yields.",,Dutch Passion Seed Co.,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/405/avatar/original/1562621236-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/405/hero/original/1562621236-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': '5a360f3b-c4df-44a7-a34e-fd7b7f69253b', 'type': 'tag', 'name': 'Orange'}, {'id': '014933f9-7def-4cf8-bc45-e363204791cb', 'type': 'tag', 'name': 'Tea'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
Cali Kush,cali-kush,hybrid,"V1. Cali Kush by Sensible Seeds
Sumo Seeds may have been the originator of Cali Kush, or California Kush, but since it has been discontinued, the breeder Sensible Seeds seems to have taken up the task of crossing Purps with L.A. Confidential to make this indica-leaning strain.The breeder claims that its Cali Kush has a fruity citrus aroma with coffee undertones, along with moderate 13% to 15% THC levels and high (though undisclosed) levels of CBD.

Cali Kush from Sensible Seeds is said to be easy for beginners to grow, producing solid yields of light green and blue-hued colas that are covered in trichomes during an eight-to-nine-week flowering cycle. When grown indoors, Cali Kush can grow up to 1 meter, or 3.3 feet, in height, producing between 425 to 475 grams of flower per square meter. Outdoors, Cali Kush can reach up to 1.2 meters, or 4 feet, yielding up to 250 grams, or 8.8 ounces, per plant when harvested in early October in the Northern Hemisphere.


V2. Cali Kush by Anesia Seeds
The Spanish breeder Anesia Seeds has their  own version of California Kush or Cali Kush, which is a cross between Strawberry Kush with OG Kush. Anesia’s indica-dominant Cali Kush has a flavor and aroma of tropical fruits, along with an average THC level of 24% and 2.8% CBD, according to the breeder.

Growing short and compact during the vegetative phase, this specific Cali Kush is said to be a heavy resin producer, sprouting bright, trichome-covered buds in a seven-to-eight-week flowering cycle.

The cultivar is easy to grow and does best indoors with Sea of Green (SOG) though it can be grown outside in warm climates.


V3. Cali Kush by 00 Seeds
Another Spanish breeder named 00 Seeds developed its version of Cali Kush, or California Kush, to bring a little of California’s famed Emerald Triangle to the rest of the world, or at least to European cannabis consumers. The particular Cali Kush is a cross of an unknown Californian indica and an unknown Hindu Kush, creating an indica-leaning strain that has a sweet and spicy aroma. 
 
The breeder says its Cali Kush’s indica nature keeps the plants fairly small but they are easy to grow indoors or outside in a warm, dry climate. These small plants produce one large central bud with glistening trichomes and orange stigma hairs during a 55-to-60-day flowering cycle.  Growers should expect plants to grow between 90 to 120 centimeters, or 3 to 4 feet, high when cultivated indoors, yielding 450-to-550 grams per square inch. Outdoor grown Cali Kush could reach up to 250 centimeters tall, and if cultivated in the Northern Hemisphere, should be harvested in mid-October. If grown outdoors in the Southern Hemisphere, growers should plan to harvest Cali Kush in mid-April.",,"Sensible Seeds, Anesia Seeds, 00 Seeds",,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/925/avatar/original/1569453256-171202_47518_CaliKush_1.jpg,https://images.weedmaps.com/strains/000/000/925/hero/original/1569453256-171202_47518_CaliKush_1.jpg,[],"[{'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]",[]
Cancer's Nightmare,cancer-s-nightmare,hybrid,"SinCity Seeds set out to create the perfect medicinal strain when it combined Cannatonic with White Nightmare to get Cancer’s Nightmare. The breeder claims a 1:1 THC:CBD ratio at about 15%.

According to SinCity, Cancer’s Nightmare is a balanced indica-sativa hybrid with massive yields. It grows to an average height in- or outdoors and flowers in eight weeks. Sources online say the 1:1 ratio of THC to CBD delivers uplifting and relaxing effects.
",,Sin City Seeds,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/733/avatar/original/1566583295-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/733/hero/original/1566583295-Strain_Flower-Hybrid_v5__1_.jpg,[],"[{'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': 'd4aab54e-1407-4b4c-bc1a-13b6c01dbe62', 'type': 'tag', 'name': 'Tingly'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]",[]
Candy Apple,candy-apple,hybrid,"This strain's lineage comes from TreeHawk Farms, crossing Blueberry and Pineapple with Afghan. Consumers describe the flavor profile as a tasty blend of pineapple and apples, with an almost cream soda-like undertone. Although it’s a very relaxing Sativa-dominant hybrid, with the right dosage, it can be relaxing, uplifting, and can help regain focus simultaneously.","Candy Apple has a flower time of 8-10 weeks and yields about 5 ounces per square foot. 
Like most strains, Candy Apple is great for growing indoor or outdoor, very resistant to mold, mildew and can withstand environmental fluctuation.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '79b2d842-1197-448e-b74a-41fd13c2cb27', 'type': 'tag', 'name': 'Sleepy'}]","[{'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
Candy Jack,candy-jack,hybrid,"Candy Jack is reported to be a clone-only cross between two legendary strains: Jack Herer and legendary Skunk #1. Equipped with heavy Haze genetics, sources claim that Candy Jack has the fruity, sweet flavor profile of its Skunk #1 lineage.

Candy Jack is said to be surprisingly easy to grow, even for beginners, as it grows short in stature and flowers relatively quickly, and is also resistant to pests. With proper lighting and feeding, growers should expect to have high yields of trichome-encrusted buds with russet stigma hairs. Candy Jack won second place for sativa at the 2010 High Times’ Cannabis Cup in Northern California.",,,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/927/avatar/original/1569454339-180301_40546_CandyJack_1.jpg,https://images.weedmaps.com/strains/000/000/927/hero/original/1569454339-180301_40546_CandyJack_1.jpg,[],"[{'id': 'd4aab54e-1407-4b4c-bc1a-13b6c01dbe62', 'type': 'tag', 'name': 'Tingly'}, {'id': '19823980-34c1-4689-92e3-5ef7866c1b76', 'type': 'tag', 'name': 'Focused'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]","[{'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '7f7c4304-e131-4ddb-b50a-196bbadce83f', 'type': 'tag', 'name': 'Flowery'}]"
Candyland,candyland,sativa,"Candyland (aka Kandyland) is a Sativa-leaning cross between a male Granddaddy Purple and a female Bay Platinum Cookies (which is more commonly known as Platinum GSC). 

Created by Northern California’s Ken Estes, Candyland produces thin sun leaves with tight, internodal spacing and dense buds that are known for resin content. The strain typically finishes her flowering cycle within 8-9 weeks of the 12/12 light cycle switch, while outdoor cultivators must wait until early October in the Northern Hemisphere, early April in the Southern Hemisphere, before harvesting. 

A gold winner at Denver’s 2012 KushCon event, Candyland took home the first-place trophy for best Sativa. 
",,Ken Estes,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/041/avatar/original/1548441705-011018_53494_Candyland_SAF_1.jpg,https://images.weedmaps.com/strains/000/000/041/hero/original/1581016895-CandyLand.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}]","[{'id': '15eaa9a0-5b9d-485a-bea3-c55b0705e693', 'type': 'tag', 'name': 'Apple'}, {'id': 'b612923d-d473-4fe6-84af-9c1bc435e957', 'type': 'tag', 'name': 'Blueberry'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
Cannaberry,cannaberry,hybrid,"Cannaberry is an indica-dominant hybrid from Apothecary Genetics in the Pacific Northwest.

A cross between Cannatonic and Blackberry, Cannaberry is known for developing a high CBD content, making it an ideal choice for medical use.

Cannaberry has a flowering time from 42-49 days and produces and average yield. ",,Apothecary Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/771/avatar/original/1567121357-Strain_Flower-Hybrid_v5__1_.jpg,https://images.weedmaps.com/strains/000/000/771/hero/original/1567121357-Strain_Flower-Hybrid_v5__1_.jpg,[],[],[]
Cannadential,cannadential,hybrid,"Cannadential is a balanced hybrid created by breeder DNA Genetics. The strain gets its unusual name from its parents, Cannalope Haze and LA Confidential.
The top reported aromas of the Cannadential strain are earthy, herbal, fruity. And it is said to taste like herbs, earth, and nuts.","Cannadential is a balanced hybrid that’s a cross between Cannalope Haze and LA Confidential. Cannadential develops into short plants. Cannadential has an average flowering time between 56 and 63 days and produces high yields in ideal conditions. The Cannadential strain is best grown outdoors.
Cannadential is available as seeds.",,,,0.0,22.0,0.0,1.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],[],[]
Cannalope Haze,cannalope-haze,hybrid,"Coming from DNA Genetics in Amsterdam, Cannalope Haze is a cross between Haze Brothers and a Mexican Sativa landrace from Michoacan. The result has a melon-tinged flavor — hence the name. The 8-week flowering period helps make this a desirable strain that produces an above average yield.",,DNA Genetics,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/strains/000/000/407/avatar/original/1559932375-180216_49665_CannalopeHaze_1.jpg,https://images.weedmaps.com/strains/000/000/407/hero/original/1559932375-180216_49665_CannalopeHaze_1.jpg,[],"[{'id': '134d74f7-944e-4bd6-9108-e8f87d03ec90', 'type': 'tag', 'name': 'Energetic'}, {'id': '532eb8d6-ccfa-4ca8-95f4-4b9386ee9575', 'type': 'tag', 'name': 'Hungry'}, {'id': '19f7ac7b-ffb0-4009-b2d0-a493efaa7dd5', 'type': 'tag', 'name': 'Creative'}]","[{'id': '736aad9c-4728-437d-b599-24d8a6c3fb9d', 'type': 'tag', 'name': 'Citrus'}, {'id': '7d43d72f-ac85-48b2-a8b8-c092c1038bc5', 'type': 'tag', 'name': 'Earthy'}, {'id': '9f52b69a-8a25-4501-8dc9-2cdfa6b078a0', 'type': 'tag', 'name': 'Sweet'}]"
Cannalope Kush,cannalope-kush,hybrid,"Smoky, woody undertones distinguish Cannalope Kush, a Sativa-dominant strain developed by DNA Genetics. This strain is a hybrid of Cannalope Haze and The OG 18. Cannalope Kush has a high THC content and some users have noted bursts of energy and euphoria. Like the cantaloupe melon that the strain name evokes, Cannalope Kush has a fresh, fruity taste and aroma.","Cannalope Kush is a good choice for beginning cultivators as it produces a high yield and is easy to grow. The maximum height of the plant is medium, which also makes it manageable for beginners. Cannalope Kush's growth is rapid, with flowering occurring at around nine weeks.",,,,0.0,0.0,0.0,0.0,,False,https://images.weedmaps.com/original/image_missing.jpg,https://images.weedmaps.com/original/image_missing.jpg,[],"[{'id': '26cb0214-8165-42eb-8941-9718b9a5680e', 'type': 'tag', 'name': 'Happy'}, {'id': '7be809dd-648e-4f9c-af7f-ffc70a079066', 'type': 'tag', 'name': 'Euphoric'}, {'id': '69b03eea-8b05-4d77-83b3-d796b7b0525e', 'type': 'tag', 'name': 'Relaxed'}]",[]
