Index,Strain,Type,Rating,Effects,Description,Flavors,Nearest
10,Nina Limone,sativa,5.0,"Euphoric,Happy,Energetic,Talkative,Uplifted","Nina Limone by Colorado Seed Inc. is a stimulating citrus-heavy cross of Super Lemon Haze and Rebel God Smoke. While this strain produces beautiful, rich nuggets of hard, resinous flower, the yield is small and unsuitable for mass production, but may still be found in special, rare quantities. Instead, CO Seed Inc. bred a series of strains to capture and stabilize the tropical qualities of Nina Limone in tandem with strains like Gupta Kush, Flo, Hawaiian Sunrise, and Silver Back.","Lemon,Sweet,Citrus","10,348,2024,306,2083,2029"
11,Straight As Haze,sativa,5.0,"Energetic,Euphoric,Happy,Talkative,Giggly","Straight A's Haze by Cereal Killer Genetics is a special phenotype for Haze aficionados. This unique incarnation of Paradise Seeds’ Delahaze is a clarity-driven strain with a complex, spicy terpene profile. The grower, Shaman Stinky Steve, noted hints of nutmeg, pepper, cinnamon, and incense as well a motivating body high that promotes activity. Straight A's is also known as “Clean the Garage Haze,” as Steve found himself doing chores, acing his classes, and losing weight “ever since this strain came into [his] life.”","Sweet,Citrus,Spicy/Herbal","11,126,72,148,289,949"
12,California Hash Plant,indica,5.0,"Uplifted,Creative,Energetic,Giggly,Happy","California Hash Plant is a combination of two sister strains from the same Hash Plant mother. Offering a spicy, floral aroma, this endogamic cross weighs heavily on the limbs and mind, dissolving anxiety and encouraging rest. Known for its mold resistance and indoor or outdoor adaptability, California Hash Plant is a solid choice for experienced growers seeking out a potent cannabis variety. Enjoy California Hash Plant near the end of the day as its sedative effects can give lead boots to the consumer’s motivation.",Citrus,"12,1294,1136,1728,40,7"
13,Northwest Pineapple,hybrid,5.0,"Uplifted,Euphoric,Happy,Relaxed","Northwest Pineapple is an indica-dominant hybrid created by crossing the timeless classic Northern Lights and the fruit-forward Oregon Pineapple. It has an enticing aroma of sweet, earthy pineapple with a Haze-like undertone. The taste is delicious, offering consumers a hint of citrus that intensifies upon exhaling. This strain expresses large, fluffy spade-shaped buds with mint green foliage and a thick layer of amber hairs. Northwest Pineapple has a happy and uplifting high that easily improves mood while going easy on the body.","Sweet,Pineapple","13,1843,1845,492,82,1009"
14,Og Glue Sniffer,hybrid,5.0,"Sleepy,Uplifted,Relaxed","OG Glue Sniffer is an award-winning hybrid from Matanuska Thunder Seeds. Winning 1st place at the 2016 Anchorage Cannabis Classic for Best Hybrid, OG Glue Sniffer incorporates the generous trichome production and pungent aroma of Gorilla Glue #4 with the OG and Cookie funk of its Grateful Breath father. This loud genetic synthesis infuses the limbs with waves of warm relaxation while stimulating a strong euphoric buzz between the ears.",Pungent,"14,354,1612,644,369,18"
15,Cbd Ox,indica,5.0,"Aroused,Sleepy,Happy,Euphoric,Hungry","CBD OX by Rare Dankness is a 1:1 CBD/THC strain that grows deep green buds with bright orange hairs. This pleasant strain is a 90% indica-dominant cross of Rare Dankesss’s OX male and a CBD-rich cultivar, Shak. CBD OX has a spicy flavor and deep notes of coffee and berry. The breeder recommends utilizing this strain’s calming effects to abate anxiety and diminish physical discomfort.","Sweet,Berry,Flowery","15,287,886,549,1627,1642"
16,Oldtimers Haze,sativa,5.0,"Tingly,Uplifted,Energetic","Oldtimer’s Haze is a semi-stable old school Haze varietal from the 60s and 70s. This strain survived for decades with the help of Oldtimer, a British cannabis breeder, and has since gone on to influence famous buds like Purple Haze and Green Haze. While the genetic background of this strain is ambiguous, it remains one of Ace Seeds’ most sought after cultivars. Oldtimer’s Haze offers stimulating effects and aromas that speak to the heady, spicy buds of yesteryear.","Citrus,Pine","16,2096,1982,1378,404,654"
17,Stardawg 91,indica,5.0,"Sleepy,Euphoric,Happy,Relaxed","Stardawg 91 by Deschutes Growery is an indica-dominant combination of incredibly potent genetics. This common-sense cross of Stardawg and Chemdawg 91 is a pungent mashup of chemical aromas and powerful physical effects. It expresses aromatic notes of grease and fuel that speak to a varied terpene profile of beta-caryophyllene, limonene, and humulene. While this strain floats around 20% THC, mind your dosage; Chemdawg genetics are famous for their potency, and this strain has a long lineage of Chemdawg descendants.","Diesel,Pepper,Earthy","17,948,394,34,866,340"
18,Bedford Glue,hybrid,5.0,"Happy,Uplifted,Euphoric,Giggly,Relaxed","Bedford Glue is a Midwest twist on one of the cannabis industry’s rising stars. This strain was created by combining Gorilla Glue #1 with Highwayman, lending a stimulating alertness to Gorilla Glue #1’s robust potency. It has a forest-like aroma with notes of pine, pepper, and herbs. Bedford Glue is generally a heady strain with mild body effects, making it an suitable hybrid for consumers seeking a THC content above 20% without overly debilitating effects.","Pepper,Pine,Sage","18,354,1612,644,369,420"
19,Pacific Blue,indica,5.0,"Tingly,Relaxed,Sleepy,Uplifted,Creative","Pacific Blue by Falcanna is a flavorful cut with a THC content that consistently reaches above 20%. This indica-dominant strain was bred by crossing the legendary Kush powerhouse Pre-98 Bubba Kush with the fruity phenom DJ Short Blueberry. These robust and flavorful genetics offer aromas of sweet skunk and blueberry with a smooth floral aftertaste. Pacific Blue’s effects vary with dosage, but the onset is calming and euphoric, insulating the consumer in carefree bliss. This strain can get rather sedating with continued consumption, weighing on the limbs and gluing the body to the couch. Utilize Falcanna’s Pacific Blue to help with headaches, nausea, anxiety, and restlessness.","Flowery,Earthy,Sweet","19,71,1616,1078,509,1336"
20,Bell Ringer,indica,5.0,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Bell Ringer by Khush Kush is a heavyweight indica with a complex terpene profile. Khush Kush’s renowned one-two punch Bell Ringer is a combination of Hindu Skunk and Stardawg mixed with the original heavyweight, Pre-98 Bubba Kush. In true indica fashion, Bell Ringer will stimulate your appetite and knock you out. The effects are weighted and euphoric, relieving physical pain while saddling the consumer with the aforementioned “muchy mania.” Enjoy Bell Ringer and its acrid, astringent, petrol aroma later in the day to maximize the strain’s sedative qualities.","Sweet,Citrus,Pungent","20,313,71,1772,2147,116"
21,Pagoda,sativa,5.0,"Uplifted,Happy,Relaxed,Talkative,Energetic","Bodhi Seeds crossed the Genius phenotype of Apollo 11 with Appalachia to make this mostly sativa strain. Pagoda grows in the lanky manner of Apollo 11, meaning that she will require a great deal of support to keep her dense flowers off the ground. Flavors of pineapple, melon and starfruit combine with a pronounced chem-fuel funk to create a very unique terpene profile.","Citrus,Grapefruit,Tropical","21,2145,1240,1269,103,125"
22,B Witched,hybrid,5.0,"Euphoric,Relaxed,Happy,Hungry,Sleepy","B-Witched by Ocean Grown Seeds is a magical cross of arcane genetics. By combining OGS Wizard’s Potion and the famous Witches Weed, a frosted herbaceous phantasm is brought to life, exhibiting notes of grape, forest floor, and grapefruit. Its terpene profile has also been described as “cupcake-ish.” The effects of B-Witched are enthralling, muting stress, anxiety, and nausea with ease.","Earthy,Sweet,Citrus","23,22,814,887,1006,1419"
23,B Witched,hybrid,5.0,"Euphoric,Relaxed,Happy,Hungry,Sleepy","B-Witched by Ocean Grown Seeds is a magical cross of arcane genetics. By combining OGS Wizard’s Potion and the famous Witches Weed, a frosted herbaceous phantasm is brought to life, exhibiting notes of grape, forest floor, and grapefruit. Its terpene profile has also been described as “cupcake-ish.” The effects of B-Witched are enthralling, muting stress, anxiety, and nausea with ease.","Earthy,Sweet,Citrus","23,22,814,887,1006,1419"
24,Mendo Afgoo,indica,5.0,"Sleepy,Hungry,Relaxed,Uplifted,Euphoric","Mendo Afgoo is an unknown cross that has recently sprouted up on menus in cannabis dispensaries up and down the West Coast. The genetics are somewhat contested, with some claiming the strain is an Afgooey rebranded and others inferring parental genetics via nomenclature (Mendocino Madness x Afghani). The effects of the strain uplift the mind while saddling the body with a creeping heaviness. Mendo Afgoo is pungent and earthy, expressing deep green buds with coppery hair. Its stress-relieving effects make it a natural fit for the end of the day.","Earthy,Pungent,Skunk","24,1441,1969,1405,600,280"
25,Lemon Bananas,hybrid,5.0,"Talkative,Tingly,Uplifted,Creative,Energetic",Lemon Bananas is a hybrid strain that achieved fame in the 2015 SoCal Cannabis Cup when Dabblicious Extracts processed it into an extract worthy of 1st place in the Best Hybrid Concentrate category.,"Spicy/Herbal,Lime,Lemon","25,343,1003,207,642,176"
26,Tardis,sativa,5.0,"Talkative,Creative,Euphoric,Focused,Aroused","Tardis, or “The Tardis,” is a sativa-dominant strain with far-out cerebral effects. Appropriating the title of Dr. Who’s famous phone booth, Tardis is a cross of Oregon Diesel and Trainwreck. This heady pairing lands behind the eyes, saddling the mind with euphoria and introspective thoughts. These attributes make Tardis a strong mood enhancer, teasing at the consumer's imagination and creativity while helping abate stress. Respect this strain’s potency, as it has been reported to reach upwards of 26% THC.","Sweet,Diesel,Spicy/Herbal","26,262,7,302,1502,83"
27,Tangier Chilly,hybrid,5.0,"Talkative,Uplifted,Creative,Energetic,Giggly","Tangier Chilly by Mr. Mack’s Snacks is an homage to Chilly Mack himself and the home of the tangerine. By blending Tangie x Larry OG x Pakistani, Mr. Mack emphasizes a euphoric Kush undertone with sweet citrus terpenes. The buzz is happy and lighthearted while being kind to the body. Mr. Mack swears by the stress-relieving and anxiolytics qualities of this strain. Enjoy Tangier Chilly and its indica-dominant hybrid effects throughout the day for an enjoyable, functional buzz.","Citrus,Orange,Pine","27,1583,1826,100,1679,1801"
28,Chocolate Rain,hybrid,5.0,"Creative,Happy,Talkative,Uplifted,Energetic","Chocolate Rain by Eskobar Seeds is a flavorful mashup of exceptional genetic stock from two exceptional breeders. An indica-dominant hybrid cross of DNA Genetics’ Chocolope and DJ Short’s Cocoa Kush, this twice-deep chocolate pairing emits a bittersweet cocoa aroma with touches of blueberry and floral Kush notes on the finish. The strain’s effects are balanced, offering happy, relaxing mental and physical effects that aren’t overwhelming. Chocolate Rain has a decent yield and an average 9 to 10 week flowering period.","Sweet,Vanilla,Coffee","28,89,942,761,745,2016"
29,Lime Sorbet,indica,5.0,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Lime Sorbet by Cresco Labs is the descendent of the storied Katsu cultivar of Bubba Kush and Lime Skunk. Blending these distinct strains produced a remarkable phenotype that is exceptional in flavor and versatile in effect. This indica has a pungent earthy aroma intermixed with the tart, fresh flavor of lime that lingers on the exhale. Lime Sorbet’s Kush parentage lends this strain pleasant physical relaxation while subduing both anxiety and stress.","Lime,Citrus,Sweet","29,294,105,540,313,847"
30,Tangerine Trainwreck Haze,sativa,5.0,"Euphoric,Aroused,Uplifted,Creative,Energetic","Tangerine Trainwreck Haze is another beautiful cut by Rare Dankness Seeds. Created by crossing Tangerine Haze and Nevil’s Wreck, Tangerine Trainwreck Haze expresses bright green and orange buds knotted in red hairs. These buds explode with spicy tropical aromas that hold touches of citrus, fuel, cracked pepper, and musk. Tangerine Trainwreck Haze requires a little extra time, but has been known to fill out all available canopy space, offering a generous yield to the attentive gardener.","Sweet,Citrus,Orange","30,1068,1557,1204,1881,1760"
31,Little Dragon,hybrid,5.0,"Uplifted,Euphoric,Happy,Relaxed,Talkative","Little Dragon offers a more citrus-forward Kush experience, blending OG Kush, Colombian, and Thai genetics. While OG Kush anchors the physical effects with mid-level pain relief and a general heaviness in the limbs, the Central American and Southeast Asian genetics explode on the palate and offer complementary mental stimulation. Enjoy Little Dragon as a functional analgesic strain that shows off its flavorful exotic roots on the exhale.","Diesel,Minty,Woody","31,1092,1375,1538,771,1768"
32,Secret Garden Og,indica,5.0,"Euphoric,Talkative,Uplifted,Creative,Energetic","Secret Garden OG is a Colorado Seed Inc. masterpiece. This OG strain is incredibly relaxing and dedicated to Kush fans everywhere. The blend of Lavender parentage against a Ghost OG Moonshine x Rug Burn OG foretells the weight this strain applies to muscles throughout the body. With a unique aroma that leans toward the therapeutic, Secret Garden OG offers a cozy sense of well-being that extends to mood elevation and pain relief.","Flowery,Lavender,Honey","32,723,1099,2007,94,105"
33,Loyality,hybrid,5.0,"Tingly,Relaxed,Focused,Uplifted,Creative","Loyalty is an indica-dominant hybrid bred by TSL Farms in Los Angeles. This Animal Pie and OG Kush cross shows off its uniquely colored buds with purple hues throughout. Consumers look to this strain to get creative, and it may also provide relief from migraines, pain, and stress.","Pungent,Citrus,Earthy","33,109,470,805,1583,926"
34,Chem Jack,hybrid,5.0,"Talkative,Uplifted,Creative,Happy,Aroused","Chem Jack is the common sense cross of Chemdawg and Jack Herer. This sativa-dominant hybrid expresses lime green buds with dark brown pistils. Its buds smell sweet and herbal while the taste of the smoke is intensely piney, bordering on chemical. The effects are centered and relaxing, helping consumers shrug off stress and improve mood. Chem Jack can push 25% THC, so mind your dosage. Chem Jack’s functional buzz can become whimsical and moderately sedating with continued consumption.","Earthy,Sweet,Flowery","34,1530,1354,137,17,824"
35,Chicle,hybrid,5.0,"Aroused,Euphoric,Focused,Happy,Hungry","Chicle (aka Bubbledawg) by T.H. Seeds is an award-winning flower with plentiful resin production. This commonsense cross of Bubble Gum and Chemdawg yields beautiful green buds knotted in copper hairs and covered in glittering resin. This flower’s large resin glands and vigorous growth make it ideal for producing hash or cannabis concentrates. Chicle won 1st place Resin at 2015 Expogrow in Irun, Spain as well as 3rd place Resin at the Spannabis Champions Cup in Barcelona. Chicle’s bouquet is a mixture of sweet Bubblegum and fuel-forward terpenes.","Ammonia,Diesel,Mint","35,1408,1208,1894,1034,647"
36,Lucid Bolt,indica,5.0,"Giggly,Hungry,Relaxed,Sleepy,Talkative","Lucid Bolt is a functional indica-dominant hybrid bred to brighten the mind and relax the body. These genetics were cultivated by Paradise Seeds and have become exceptionally popular with all-day consumers seeking a strain that is mentally alert but kind on the extremities. This strain finishes relatively quickly, coming to maturity in approximately 8 to 9 weeks.","Blueberry,Berry,Earthy","36,1720,1452,1535,1018,322"
37,Cherry Sauce,hybrid,5.0,"Talkative,Tingly,Uplifted,Creative,Energetic","Cherry Sauce by Andromeda Strains is a delicious cross with diverse genetics. The offspring of parent strains Cherry Pie and The Sauce, Cherry Sauce offers complex nuances in flavor, aroma, and effect. With a terpene profile exhibiting skunk, spice, earth, and tartness and a velvety flavor, Cherry Sauce is worthy of a place on any cannabis connoisseur's roster. The effects are heavy-hitting but balanced overall, stimulating the mind with a rush of energy, and melting into a vibrating full-body buzz that helps with nausea and stress without sacrificing alertness.","Spicy/Herbal,Sweet,Flowery","37,2018,1559,66,1834,283"
38,Madzilla,indica,5.0,"Tingly,Uplifted,Euphoric,Happy,Relaxed",Madzilla is an indica strain from Los Angeles that crosses King Louis XIII and OG Raskal's Fire OG. Its big bulbous colas are an array of dark green hues with bright orange pistils and a thick layer of sticky trichomes. Madzilla carries a sweet pine aroma and an earthy taste with floral undertones. The full-body indica effects calm the mind and relax sore muscles and body pains.,"Earthy,Woody,Pine","38,607,1261,711,476,805"
39,Mangolicious,indica,5.0,"Uplifted,Focused,Relaxed,Giggly,Happy","Mangolicious is an indica-dominant cross of Big Bud and White Widow. This cut expresses a tropical aroma and robust bud structure. It has a relatively speedy flowering time and a generous yield thanks to its Big Bud genetics. Mangolicious’s full-body effects and pleasant mango smell speak to potentially high levels of myrcene, a terpene known for its weighted “couchlocking” effect.","Sweet,Tropical,Pineapple","39,1978,1930,1951,659,861"
40,Maramota 10,hybrid,5.0,"Talkative,Energetic,Giggly,Relaxed","Maramota #10 is a concoction of DJ Short Blueberry mixed with a cross of G13 and Hash Plant. This hybrid by Irie Vibe Seeds produces a multifaceted aroma of sweet berries and earthy hash that conjures memories of strawberry shortcake. A heavy yielder, Maramota #10 is a good way to stimulate the appetite or to help put you to sleep at the end of the day.","Sweet,Berry,Earthy","40,12,1136,1498,1336,1616"
41,Cherwillie,hybrid,5.0,"Creative,Energetic,Happy,Relaxed,Focused","CherWillie is the sativa-dominant hybrid cross of Chernobyl and Willie Nelson. This strain is a true hybrid in effect, offering consumers balanced physical and mental attributes that take the edge off repetitive tasks or a long day. The terpene profile is a mixture of earth and spice with a smooth finish. CherWillie is known to have a creative and functional buzz as well as a manageable potency.","Sweet,Strawberry,Citrus","41,536,893,1412,93,2151"
42,Mekamika Haze,sativa,5.0,"Uplifted,Creative,Energetic,Euphoric,Focused","Mekamika Haze won Best Sativa at the 2015 Amsterdam Unity Cup. This pure landrace sativa supposedly hails from the Amazon and shares genetics with another mysterious strain, Mango Rossa (Manga Rosa from Brazil). The bright, lanky sativa is a challenge to grow, but attentive farmers are rewarded with beautiful buds that smell of tropical citrus and mango with pungent, earthy undertones.","Pineapple,Mango,Flowery","42,1229,2128,621,1928,196"
43,Pakistan Valley Kush,indica,5.0,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Pakistan Valley Kush is a pure indica landrace strain from the Hindu Kush mountain range. This bushy plant grows squat and resilient, exhibiting deep colors and earthy, floral aromas. Offering heavy sedative effects, this hardy bud relieves pain and saddles the consumer with long-lasting relaxation. This rare landrace is an evening-preferred strain unless the consumer is planning a day in bed or on the couch. Utilize Pakistan Valley Kush to curb physical pain, nausea, restlessness, headaches, and more.","Pine,Sweet,Earthy","43,2104,1589,1927,555,1389"
44,Spoetnik 1,indica,5.0,"Focused,Sleepy,Creative,Energetic,Euphoric","Spoetnik #1 by Paradise Seeds (not to be confused with Sputnik) is named for the CCCP satellite sent into space in 1957. While the full genetic cross remains a mystery, this plant exhibits strong Afghani traits, including rich, dark buds that have an earthy aroma intermixed with subtle fruitiness. This plant is tall and resilient, making it ideal for new growers seeking a plant with a larger than average yield.","Flowery,Lavender,Rose","44,781,444,1192,590,179"
45,Ape Shit,hybrid,5.0,"Happy,Relaxed,Uplifted,Giggly,Talkative","Ape Shit is the genetic offspring of three quality cannabis strains. By crossing Purple Urkle, Acapulco Gold, and Cinderella 99, this hybrid strain blends deep body effects against bright, heady mental energy. Certain phenotypes exhibit a strong grape odor, but typically this strain smells of lavender with a touch of sweetness. Enjoy this strain as a means to quell depression and anxiety.","Sweet,Grape,Lavender","45,381,992,1771,49,1066"
46,Peles Fire Og,hybrid,5.0,"Aroused,Uplifted,Energetic,Sleepy,Tingly",Pele’s Fire OG by Pua Mana Pakalōlō puts the volcanic flames of the Hawaiian goddess Pele into this Fire OG backcross. The talented Pua Mana Ohana bred their finest Fire OG male with their most ‘ono (delicious) wahine (female) to create a strain worthy of Pele. The strain expresses classic OG aromas of citrus and earth while delivering euphoric mental effects that settle into the limbs as pleasant warmth.,"Diesel,Earthy,Pungent","46,422,958,420,158,520"
47,Sorcerers Apprentice,hybrid,5.0,"Tingly,Focused,Aroused,Uplifted,Energetic","Sorcerer’s Apprentice by Bodhi Seeds sprinkles a little magic in your bowl. Created through some mystical cannabis alchemy, this strain’s genetic parents are Cheech Wizard crossed with Appalachia. This hybrid pairing conjures sweet, creamy aromas with a subtle note of chemicals on the rim. It is known for its dreamy, contemplative mental state and functional relaxation.","Sweet,Tropical","47,707,1053,125,2018,292"
48,Blue Wonder,hybrid,5.0,"Uplifted,Happy,Euphoric,Focused,Relaxed","Blue Wonder is a sativa-dominant hybrid originating from California as a distinct descendant of Blue Dream. Originally bred from Blueberry and Super Silver Haze, Blue Wonder exhibits a profound level of cerebral invigoration while maintaining a classic Blue Dream body buzz. With a traditional Blueberry aroma, Blue Wonder delivers gentle euphoria and swift relief for patients treating pain, depression, and nausea.",Blueberry,"48,1133,1406,634,1808,478"
49,Purple Swish,indica,5.0,"Happy,Energetic,Sleepy,Giggly,Hungry","Purple Swish is an intensely fruity indica strain. It’s a cross of Purple Urkle and Rare Dankness #1, and expresses dark buds with deep purple hues. This strain’s deep relaxation is coupled with giggly euphoria that will glue you to the couch with a smile on your face. The grower recommends utilizing Purple Swish for migraines, ADD/ADHD, and stress. Purple Swish also has a snappy 50 to 60 day flowering time.","Berry,Sweet,Grape","49,50,2079,1091,1478,1771"
50,Purple Tears,hybrid,5.0,"Sleepy,Tingly,Happy,Hungry,Relaxed","Purple Tears by Dirt Farmer Genetics is a pleasant twist on an old favorite. It’s the product of breeding Querkle and DelaHaze, creating a strain with the aroma of musty grape and hash, and effects that are distinctly sedating. Purple Tears usually bends toward the Purple Urkle phenotype, but has been known to pop a DelaHaze plant from time to time with sativa-dominant qualities. The leaves and calyxes take on a deep purple hue while the plant matures, giving Purple Tears a solid visual presentation to go along with its potent purple effects.","Diesel,Sweet,Berry","50,2079,1505,49,1478,1651"
51,Queso,hybrid,5.0,"Sleepy,Tingly,Hungry,Creative,Euphoric","Created in 2011 by Kannabia Seeds using Cheese and Afghani genetics, Queso (Spanish for “cheese”) is a hybrid strain that provides powerful body effects and mood elevation. This potent strain, also know as Kiss, is typically used to relieve pain, anxiety, and insomnia while offering a pugent cheese-like aroma. This aroma comes from then assumed cross of Northern Lights and Skunk, speaking to the 65/35 Indica-dominiant split described by Kannabia. Hailing from Spain, this savory international delight is a treat for anyone lucky enough to get their hands caked with the kiefy cheese dust of this Europian native.","Cheese,Earthy,Skunk","51,1028,1783,1681,834,1426"
52,Smelliot,hybrid,5.0,"Uplifted,Happy,Creative,Euphoric,Focused","Smelliot, named after its flavorful and pungent buds, is a hybrid strain that crosses Abusive OG with NYC Diesel. Smelliot amplifies the signature OG aromas of diesel, lemon, and pine in its flavorful delivery of relaxation and mental invigoration. This hybrid brings with it a jarring cerebral onset that awakens creativity and happiness, but those new to cannabis should be wary of Smelliot’s intensity. After some time, its effects spread throughout the body, providing relief to tension, mood disorders, depression, and stress. Growers cultivating Smelliot plants indoors should allow a flowering time of 60 to 70 days.","Citrus,Ammonia,Sweet","52,981,1077,2108,1079,332"
53,R 4,hybrid,5.0,"Uplifted,Happy,Relaxed,Creative,Focused","R-4, also known as Cindy’s Solution, is a CBD-dominant strain with exceptional therapeutic benefits. With a THC/CBD ratio of 1:40, R-4 sits firmly in the medical category, catering to consumers seeking relief from muscle spasms, chronic physical pain, nausea, and a shortlist of other ailments dulled by high quantities of CBD. This strain smells of chocolate and earth intermixed with a gentle floral undertone. Enjoy R-4 at any time in the day as the psychoactive ingredients are kept to a minimum.","Earthy,Nutty,Spicy/Herbal","53,876,873,1207,628,1403"
54,Skins Skunk,hybrid,5.0,"Euphoric,Happy,Relaxed,Sleepy,Uplifted","This 60% indica-dominant hybrid from Loud Seeds is a result of years of work that started by pollinating an elite clone-only Afgoo found in Sonoma with a male Michigan Skunk. Selected and bred to the f4 generation, Skins Skunk produces generous yields of hashy smelling flowers with THC levels ranging from 17% to 21% and CBD levels up to 2%.","Lemon,Sweet,Strawberry","54,1288,1952,756,1328,1452"
