name,description,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Mint,Nutty,Orange,Pepper,Pine,Pineapple,Plum,Pungent,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Woody,Aroused,Creative,Energetic,Euphoric,Focused,Giggly,Happy,Hungry,Relaxed,Sleepy,Talkative,Tingly,Uplifted,Hybrid,Indica,Sativa
A-Dub,"A-Dub is said to be a potent strain with the legendary genetics of Sour Double, which is a cross of Sour Diesel and Sour Bubble, and Alien Dawg, a combination of Alien Technology and Chemdawg. According to several online sources, A-Dub has pale green buds covered with iconic red-orange hairs and glittery trichomes. It has a fruity, woody, spicy taste and strong sweet, earthy, sour aroma.

Growing notes online suggest that A-Dub grows easily inside or out, delivering high yields during an  eight-to-nine week flowering cycle. In 2014, High Times magazine named A-Dub the second-strongest strain on Earth, perhaps making it best left to experienced consumers.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Afghani,"These landrace strains are thought to originate in the Mazar-i-Sharif region of Afghanistan. They’re commonly categorized as pure Indica landrace strains and are known for pungent, sweet smelling flowers. The plants have been used to create popular hybrid strains such as LA Confidential, Blueberry and Northern Lights. 
",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Afghan Kush,"Afghan Kush is a landrace strain that originated in the Amu Darya River Valley, nestled on the border of Tajikistan and Uzbekistan. The cultivar grew in the wild for centuries and stabilized its genetic profile through continual natural selection. Considered by many breeders to be the backbone of today’s modern Indica strains, Afghan Kush is known for its sour aroma and reported relaxing, euphoric effects.

Breeders can grow Afghan Kush both indoors and outdoors, with a flowering period of 50-to-60 days, or in mid-October, depending on its environment. The plant grows short and stout, developing large, compact, dark-green buds. Highly resistant to most diseases and pests, Afghan Kush is known and loved for its plentiful yield.",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
Afghan Skunk,"Afghan Skunk, also known as Afghani Skunk, is an indica-leaning hybrid first crossed between an Afghan and Skunk #1 by the breeder Expert Seeds. Originally bred in the United States, the Afghan Skunk strain was relocated to the Netherlands in the 1980s to escape prohibition. 

The creators of Afghan Skunk describe the strain as having a spicy aroma and sweet, fruity taste. According to Expert Seeds, the effects of this strain border between relaxing indica-like effects and a heady sativa high that stems from its Skunk lineage. THC levels for Afghan Skunk typically average about 18%. 

Afghan Skunk is said to be a vigorous grower, but also relatively easy to control and maintain healthy vegetation. Following a 55-day flowering cycle, indoor Afghan Skunk can yield between 500 to 550 grams per square meter, while when grown outdoors it is harvested in September in the Northern Hemisphere and can produce an impressive 900 grams to 1 kilogram, or about 2 pounds, per plant. ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Afgooey,"Afgooey, or Afgoo, is an infamous cultivar that goes by a whole host of similar names. Across of Afghan #1 and Maui Haze, the strain inherits an earthy, tropical flavor from its parentage. 

Afgooey averages around 16-20% THC and 15% CBD, according to Seedsman seed bank.",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Afwreck,"NorCal Farms crossed Afghani with Trainwreck to produce Afwreck, which Pacific Seed Bank says is a balanced hybrid boasting 18-22% THC and a herby aroma. Because of its reported mixture of uplifting and relaxed sensations, not causing paranoia or — on the other end of the spectrum — couch lock.
 
It can be grown indoors or outdoors, according to Pacific Seed Bank, and flowers in about nine weeks, or six to eight weeks if grown indoors. The seed bank says it produces a tingly body sensation and lends a clean feeling energy to either day or evening activities.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
Agent Tangie,"Agent Tangie is a sativa-dominant hybrid bred by crossing California Orange with Skunk.

Agent Tangie, developed by 3C Farms, offers a flavor of sweet orange with an edge of sour and an effect described as “cerebral.” The flowers develop a distinct orange coloring.",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
AK-47,"AK-47 is an F1 hybrid from Dutch seed bank Serious Seeds. Created in 1992, its exact lineage remains secret, but seed bank owner and breeder Simon says it’s roughly a 65:35 Sativa/Indica hybrid of Colombian, Mexican, Thai, and Afghani descent. 

Serious Seeds carries both regular and feminized AK-47 seeds and reports a strong, fruity scent from the strain, coupled with a powerful, long-lasting “Indica” high. 

AK-47 has won 16 awards, including 1st Hash at the Barcelona High Life Cup in 2005, 1st Sativa at the Toronto Treating Yourself Expo in 2011 and 3rd Hybrid at the 2011 High Times Cannabis Cup. ",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Alaskan Thunder Fuck,"Alaskan Thunder Fuck (ATF) was originally cultivated in Matanuska Valley, Alaska. Sources are conflicted about the genetic origin of this strain, but most seem to agree it began as a cross between Russian Ruderalls and an unknown type of Northern California Sativa, later to be crossed again with Afghani Landrace in the 1970s. 

The initial nose scent of this strain may be off-putting to some as its terpene profile is fairly unique. Mixing sweet fruitiness (banana and orange) with an earthy skunk (pine, diesel), this is a strain more suitable for a developed palate. Fans of Jack Herrer may enjoy the classic fresh lemony-pine notes of ATF.  

Because of its creativity-inducing effects, ATF is a great strain for those who wish to consume while still being able to concentrate. Too, many say this strain lacks the typical crash that comes with a potent sativa. Since ATF is known for its intensely cerebral head high, those prone to sensitivity may want to take a conservative first puff or two and see how it affects them. 

Fun fact: this strain shares the name of a popular drag queen known for her high-energy performances.",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Alien Cookies,"Alien Cookies is a cross between Aliendawg and GSC (formerly Girl Scout Cookies), reportedly originated by the cannabis breeder Jaws Genetics. Although this Alien Cookies cultivar doesn’t appear to be readily available in seed or clone form, the strain is said to have a pungent, earthy, sweet vanilla flavor profile and heavy trichome production. Twisty Treat Seeds also made an Alien Cookies with different genetics than the Jaws Genetics version, but they also seem to have discontinued that strain.

The balanced hybrid from Jaws is reportedly moderately difficult to grow, as these tall and lanky plants typically require support, according to online sources. The flowering time for this high-yielderis said to happen around eight to nine weeks.",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Alien Dawg,"Alien Dawg is a cross of Chemdawg and Alien Technology created by team at The Cali Connection. It has a sweet, spicy, woodsy taste and a strong aroma of sweet berries with an earthy background. The strain has an average of 20% THC and less than 2% CBD, according to lab tests obtained by Pacific Seed Bank. Alien Dawg is one of The Cali Connections’ award-winning genetics, clinching second place in Best Indica at High Times Medical Cup in Detroit in 2014. 
Alien Dawg features wide, short fan leaves characteristic of Indica genetics. The cultivar grows easily indoors or outside, where it reaches average heights and is ready to harvest in about eight weeks. Pacific Seed Bank says this strain produces large yields.
",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Alien Kush,"Also known as Purple Alien Kush, this strain is a cross of Las Vegas Purple Kush and either Alien Dawg or Alien Tech, depending on which origin story you believe. Some say it’s a product of The Cali Connection, but their website says Alien Kush was created by Obsol33te and then released under the Cali Connection label. Some say it’s a creation of Alien Genetics. Regardless, it’s a Kush-y California native with green buds that smell floral and sweet, while tasting slightly spicy, according to reports online.

Alien Kush is supposedly easy to grow, even for novices, indoors or outdoors, with a medium yield and eight-to-nine weeks flowering time. Indoor cultivation may result in higher yields.
",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Alien OG,"Alien OG is a hybrid strain originally bred by Obsol33te and is currently available from West Coast seed bank Cali Connection. 

The strain is an F1 Hybrid of an Alien Kush male from breeder Obsol33te crossed with a Tahoe OG female. 

Users should expect a lemon/Kush flavor and medium yields with a 60-65 day flowering period. Some phenotypes reportedly flower quickly, within 58 days. 

Testing from Phylos Bioscience displays a moderate level of genetic variation in the strain. 

Both regular and feminized seeds are available from Cali Connection. 
",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
Alien Rock Candy,"Bred by Alien Genetics, Alien Rock Candy is a cross between Sour Dubble and Tahoe Alien. 

The strain was produced by crossing a female Sour Dubble from B.O.G. seeds with one of the breeder’s Tahoe Alien male plants. The result is a reportedly fast-vegetating, sour, lemon-lime, candy-flavored bud.

The strain is easy to grow both indoors and outdoors, and produces medium-heavy yields in a 56-day flowering cycle.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
Amnesia,"Amnesia’s story began in California, where breeder David Paul Watson -- better known as Sam the Skunkman -- reportedly crossed Bubble Gum, (a Netherlands strain from Adam at TH Seeds and Cerebral Seeds’ Simon and Tony,) with Super Silver Haze, a Sativa-dominant hybrid from Amsterdam’s Green House Seed Company. 

He took the resulting strain, Amnesia, to Amsterdam for further cultivation. 

Amnesia reportedly grows both indoors and outdoors. It exhibits Sativa-like growth characteristics, and flowers within 80 days. ",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Amnesia Haze,"Bred by Amsterdam’s Soma Seeds, the strain is a complex cross of Haze with Southeast Asian, Afgani and Hawaiian landrace strains. 

It’s not to be confused with Amnesia -- a cross of Bubble Gum and Super Silver Haze -- that was grown in Amsterdam and bred in California by David Paul Watson (aka Sam the Skunkman.)

The seed bank reports the strain has mostly Sativa lineage, which explains its height, ample bud production and 84-to-91-day flowering period. While it was was bred to grow better indoors, Soma claims it can be grown outdoors as well. 

The seed bank reports the strain offers uplifting, relaxing effects. It won 1st place at the High Times Cannabis Cup in 2004, as well as 1st place in the Sativa category at the High Times Cannabis Cup in 2012.  ",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Animal Cookies,"Bred by the Canadian seed bank BC Bud Depot, the indica-leaning Animal Cookies is a cross between Fire OG and an award-winning cut of GSC (formerly Girl Scout Cookies), which won the 2013 High Times Medical Cannabis Cup in Los Angeles. Packed with a cherry cookie flavor, Animal Cookies was bred when the breeder attempted to improve the already coveted Girl Scout Cookies strain. 

Animal Cookies strain is reported to produce medium-size, popcorn-shaped buds that are enveloped with wispy orange stimgas and a generous amount of sticky white trichomes. The breeder claims that Animal Cookies is more potent and produces higher yields than its original GSC strain. With a flowering period ranging from nine to 10 weeks, this strain is best suited for an indoor grow environment. 

Several batches of Animal Cookies have been examined by the cannabis testing lab Analytical 360, which found THC levels slightly above 20% in one sample. The terpene profile of this particular lab-tested strain demonstrated a high presence of humulene, caryophyllene, and myrcene. 
",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Animal Mints,"Animal Mints is a cross of Animal Cookies pollen and a GSC (formerly Girl Scout Cookies) x Blue Power mother bred by the pros at Seed Junky Genetics in Southern California. The cultivar features the same mint and cookie-esque flavors for which its parent strains were named.

At full maturity, Animal Mints features buds with green and teal coloring and a sparkling layer of trichomes. Not much information is known about Animal Mints’ growing needs, as the cultivar is available only as clones.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Apollo 13,"Apollo 13 was originally bred by Colorado-based seed bank Brothers Grimm Seeds, which pollinated a female Genius plant said to be a Jack Herer phenotype with pollen from a P75 male to conjure this coveted hybrid strain. Used by breeder Subcool from TGA genetics, Apollo 13 played a parental role in the development of several other popular strains, including The Void and Third Dimension (3D).  

Carrying an aroma of pepper and earth with fruity undertones, the flavor profile of Apollo 13 has been described as herbal and skunky. One sample of Apollo 13 analyzed by the cannabis testing laboratory MCR Labs showcased impressive THC levels that exceeded 22%. 

The strain is reported to grow bountiful side branches with high yields of dense, terpene-rich buds sticky with resin in a 55-to-60 day flowering period. Groweres can expect harvests of about 400 grams per square meter. Ideally grown indoors using the Screen of Green (ScrOG) method, Apollo 13 is said to require a substantial amount of nutrients during cultivation. ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Appalachia,"High & Lonesome Seeds bred Appalachia as a cross between Green Crack and Tres Dawg, creating a well-balanced hybrid. While both parents are extremes in their own right — Green Crack being a high-flying sativa and Tres Dawg getting its structure and effects from an Afghani landrace crossed with Chemdawg — the result packs a punch but doesn’t lean on any extremes. Appalachia’s effects are reportedly a good mixture from its parental stock.

Appalachia features a flowering time of 56-70 days and flavors of citrus, skunk, diesel, and pine. It develops a cloud of trichomes over the plant, and the fan leaves that shoot out from its big, chunky colas are usually a shade of lime green.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Apple Fritter,"Apple Fritter was created in the wine regions of Northern California where Lumpy’s Flowers bred together Sour Apple and Animal Cookies to create one of the most potent strains on the market. According to Lumpy’s Flowers the strain is primarily an indica. Like most potent strains, not much growing information is available on this strain. Lumpy’s claims that Apple Fritter tends to bring about feelings of euphoria, steadiness, and relaxation. Apple Fritter won 2nd place for Hybrids at the 2016 High Times Northern California Cup.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Apple Jack,"Apple Jack is the cross of two legendary strains — Jack Herer and White Widow — created by Seedism Seeds. According to Amsterdam Seed Center, it has a tart fruit and earthy flavor and matching aroma, along with 15%-to-20% THC levels on average. 

Apple Jack grows to medium height and typically flowers in eight-to-nine weeks. As it grows, Apple Jack develops large buds that need support to avoid breaking branches. The cultivar delivers high yields at harvest.
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Asian Fantasy,"Asian Fantasy is a rare strain of unknown origins. It has a complex flavor that blends sweet and sour with an earthen loam, according to reports online. 
Asian Fantasy is easy to grow indoors or out, though it prefers a dry, bright location. The pest-resistant strain delivers large yields at full maturity, usually by eight-to-nine weeks or in late October. The plant is said to be quite impressive to behold, scaling to tall heights with large, heavy buds flecked with shades of reddish orange.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Ayahuasca Purple,"Ayahuasca Purple is Red River Delta crossed with Master Kush by the breeders at Barney’s Farm. The plant was named for the Native American drink made from hallucinogenic plants, according to Arbor Nursery. Barney’s Farm says Ayahuasca Purple offers a nutty, tropical flavor and a pungent aroma of sour fruit. Amsterdam Seed Center reports the strain tests around 21% THC and 1.4% CBD. 
Ayahuasca Purple develops into short, thick plants that reach maturity in seven-to-eight weeks either indoors or outside. Arbor Nursery says the strain is a good candidate for Sea of Green (SOG) growing technique. The plant carries its name well with beautiful deep purple leaves and lavender buds with red hairs and glistening trichomes. The huge colas and dense buds will need support toward the end of flowering, according to Barney’s. In addition to the amazing colors, Ayahuasca Purple delivers quite high yields.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
